period,time,HR,BR,activity,skin,ambulation,drink,drinkactivity,drinking,Positive,Negative,Fear,Hostility,Sadness
4/8/2015,20.1528,71,23,1078.512532,31.39356291,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1542,67,22,1063.557116,31.40235364,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1556,101,19,1066.196335,31.31767206,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1569,116,19,1082.851093,31.15764875,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1583,82,19,1073.531494,31.20154436,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1597,69,18,1071.175876,31.2058878,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1611,114,18,1079.484754,31.32760567,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1625,149,18,1069.321964,31.24352582,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1639,131,19,1062.702651,31.41094644,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,20.1653,104,19,1075.45572,31.62684674,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1667,100,19,1077.216826,31.57108249,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1681,94,20,1083.146751,31.60032637,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1694,74,20,1085.034863,31.58241986,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1708,59,20,1082.033591,31.59369361,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1722,56,20,1084.042106,31.58720684,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1736,59,20,1081.934131,31.59003101,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.175,66,20,1084.501025,31.59019648,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1764,67,19,1085.813157,31.58703724,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1778,56,19,1085.596931,31.59382944,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1792,48,18,1088.110074,31.57996189,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1806,57,16,1086.926605,31.62361982,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1819,75,16,1085.947631,31.70951945,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1833,78,15,1085.188117,31.67006126,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1847,74,14,1087.024948,31.73276935,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1861,83,14,1088.104014,31.79885659,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.1875,97,14,1086.23916,31.78653659,Stationary,0,0,0,0,0,0,0,0
